"","Player","Nation","Age","Pos","Born","Squad","Comp","MP","Starts","Min","90s","CrdY","CrdR","npxG+xAG","G+A.1","G-PK.1","G+A-PK","xG+xAG","Gls.y","Sh.x","SoT%","SoT/90","G/Sh","G/SoT","Dist","FK.x","PKatt.y","xG.y","npxG.y","npxG/Sh","G-xG","np:G-xG","Cmp%","TotDist.x","PrgDist.x","Cmp.1","Att.1","Cmp%.1","Cmp.2","Att.2","Cmp%.2","Cmp.3","Att.3","Cmp%.3","Ast.y","xAG.y","xA","A-xAG","KP","1/3.x","PPA","CrsPA","PrgP.y","Att.y","Live.x","Dead","FK.y","TB","Sw","Crs","TI","CK","In","Out","Str","Cmp.y","Off","Blocks.x","SCA","PassLive","PassDead","TO","Sh.y","Fld","Def","GCA90","PassLive.1","PassDead.1","TO.1","Sh.1","Fld.1","Def.1","Tkl","TklW","Def 3rd.x","Mid 3rd.x","Att 3rd.x","Tkl.1","Att.x.x","Tkl%","Lost","Blocks.y","Sh","Pass","Int","Tkl+Int","Clr","Err","Def Pen","Def 3rd.y","Mid 3rd.y","Att 3rd.y","Att Pen","Live.y","Att.y.y","Succ","Succ%","Tkld","Tkld%","Carries","TotDist.y","PrgDist.y","PrgC.y","1/3.y","CPA","Mis","Dis","Rec","PrgR.y"
"11","Tyler Adams","USA",22,"MF",1999,"RB Leipzig","de Bundesliga",24,12,1351,15,0.33,0,0.07,0.07,0,0.07,0.07,0,0.13,0,0,0,0,21.6,0,0,0.01,0.01,0.08,-0.01,-0.01,86.5,793.5,230.1,28.3,30.7,92.2,18.5,20.5,90.6,3.27,4.73,69,0.07,0.06,0.09,0.01,0.47,5.67,0.53,0,6.4,61.2,58.8,2.13,1.07,0.07,0,0.13,0.93,0,0,0,0,52.9,0.27,1,1.73,1.53,0.07,0.07,0.07,0,0,0.27,0.27,0,0,0,0,0,1.53,0.47,0.33,1.07,0.13,0.47,1.67,28,1.2,1.6,0.07,1.53,1.07,2.6,1.27,0.13,1.87,12.3,49.3,10,0.67,70.8,1.53,0.87,56.5,0.67,43.5,40.5,188.3,87.9,1.33,1.4,0.2,1.33,0.6,50,1.53
"12","Amine Adli","FRA",21,"FW",2000,"Leverkusen","de Bundesliga",25,13,1256,14,0.21,0,0.46,0.36,0.21,0.36,0.46,0.21,2.64,51.4,1.36,0.08,0.16,15.1,0,0,0.31,0.31,0.12,-0.09,-0.09,72.9,357.6,109.2,15.6,19.4,80.5,8.93,11.9,75.3,0.64,1.29,50,0.14,0.15,0.11,-0.01,1,1.93,1.36,0.29,4,36.9,35.3,1.21,0.07,0.43,0,1.5,0.79,0.07,0,0,0,26.9,0.36,1.93,3.5,2.79,0.07,0.21,0.29,0.14,0,0.43,0.36,0,0,0.07,0,0,1.93,1,0.71,1,0.21,0.57,1.07,53.3,0.5,1.86,0.14,1.71,0.79,2.71,0.86,0,0.64,8.29,24.8,20.1,4.07,52.1,2.64,1.5,56.8,1.14,43.2,32.6,202.6,123.6,3.64,2.07,1.07,3.36,1.29,37.9,7.5
"13","Yacine Adli","FRA",21,"MF",2000,"Bordeaux","fr Ligue 1",36,25,2260,25.1,0.2,0,0.31,0.32,0.04,0.32,0.31,0.04,1.27,46.9,0.6,0.03,0.07,21.2,0.16,0,0.08,0.08,0.06,-0.04,-0.04,72.4,697.4,240.9,16.3,19.1,85.4,12.4,16.2,76.2,6.25,11.1,56.3,0.28,0.23,0.17,0.05,2.35,4.86,1.43,0.16,6.53,49.8,44,5.5,1.91,0.44,1.2,4.54,0.48,2.71,1.51,0.68,0.04,36.1,0.32,1,4.82,3.23,0.88,0.24,0.12,0.2,0.16,0.72,0.52,0.12,0.04,0,0.04,0,1.71,1.08,0.88,0.56,0.28,0.76,2.71,27.9,1.95,1.31,0.12,1.2,1.47,3.19,0.44,0.08,0.64,10.6,31.6,19.6,1.79,61,3.19,1.83,57.5,1.35,42.5,39.7,230.3,106.2,2.63,1.99,0.68,2.35,1.87,41.8,3.94
"14","Michel Aebischer","SUI",24,"MF",1997,"Bologna","it Serie A",12,4,443,4.9,0.2,0,0.1,0,0,0,0.1,0,0.41,100,0.41,0,0,22.7,0,0,0.02,0.02,0.05,-0.02,-0.02,85.8,636.9,180.2,21.4,23.1,92.9,15.9,17.1,92.9,2.45,4.49,54.5,0,0.08,0.06,-0.08,1.22,2.86,0.82,0.2,3.88,48.8,45.9,2.65,1.02,0,0.2,1.43,0.2,1.43,0,0.82,0,41.8,0.2,1.02,2.04,1.84,0.2,0,0,0,0,0,0,0,0,0,0,0,2.86,1.02,1.02,1.63,0.2,1.22,2.24,54.5,1.02,0.82,0.2,0.61,1.22,4.08,0.61,0,2.45,13.9,34.9,11.4,1.63,59.6,0.82,0.2,25,0.61,75,29.2,129.6,60.6,0.41,0.41,0.41,1.84,1.02,40,1.84
"15","Felix Afena-Gyan","GHA",18,"FW",2003,"Roma","it Serie A",17,6,668,7.4,0.68,0.14,0.3,0.27,0.27,0.27,0.3,0.27,2.3,41.2,0.94,0.12,0.29,16.1,0,0,0.23,0.23,0.1,0.04,0.04,75,206.8,30.9,9.05,10.9,82.7,4.59,6.08,75.6,0.81,0.95,85.7,0,0.08,0.03,-0.08,0.81,0.54,0.54,0.14,0.95,20.5,19.6,0.95,0,0,0.27,1.08,0.68,0,0,0,0,15.4,0,0.54,3.11,1.89,0,0.27,0.27,0.68,0,0.27,0.14,0,0.14,0,0,0,1.35,0.41,0.14,0.81,0.41,0.54,0.95,57.1,0.41,0.54,0,0.54,0.41,1.76,0,0,0,2.3,12.3,23.6,5.27,37.6,2.7,0.68,25,2.03,75,26.1,184.7,70.1,2.57,2.16,1.22,5.68,2.84,28.6,10.4
"16","Martin Agirregabiria","ESP",25,"DF",1996,"Alavés","es La Liga",24,17,1616,18,0.22,0,0.04,0.06,0,0.06,0.05,0,0.22,0,0,0,0,19.1,0,0,0.01,0.01,0.04,-0.01,-0.01,69.1,500.4,252.1,15.5,19.4,79.9,12,16.3,73.5,2.44,6.11,40,0.06,0.04,0.04,0.02,0.78,2.83,1.11,0.67,3.17,44,33.9,9.94,0.33,0,0.28,2.5,9.56,0.06,0,0,0,30.4,0.17,0.89,1.78,1.39,0.17,0.11,0,0.11,0,0.17,0.11,0,0.06,0,0,0,1.89,1.22,0.94,0.61,0.33,1,2.06,48.6,1.06,1.11,0.17,0.94,1.39,3.28,2.11,0,2.39,16.6,24.9,12.6,0.67,53.7,1.06,0.78,73.7,0.28,26.3,23.8,91.5,48.3,0.83,1.06,0.06,1.22,0.44,25.8,2.22
"17","Lucien Agoume","FRA",19,"MF",2002,"Brest","fr Ligue 1",27,21,1868,20.8,0.29,0,0.08,0,0,0,0.09,0,0.72,6.7,0.05,0,0,11.9,0,0,0.06,0.05,0.07,-0.06,-0.05,83.9,721.6,217,17.8,20,89,15.8,18.1,87,5.38,6.78,79.4,0,0.03,0.03,-0.03,0.63,4.13,0.38,0,5.58,47.9,45.9,1.83,1.44,0,0.48,0.24,0,0.05,0,0.05,0,40.2,0.14,0.96,1.68,1.35,0.05,0.05,0.19,0.05,0,0.1,0.1,0,0,0,0,0,2.45,1.49,1.15,0.96,0.34,1.11,2.16,51.1,1.06,1.44,0.43,1.01,2.5,4.95,1.3,0.05,2.64,17,32,9.9,1.44,58.2,1.54,1.06,68.8,0.48,31.3,33.9,168.7,75.2,0.77,0.91,0.29,0.91,0.82,35.6,1.35
"18","Kevin Agudelo","COL",22,"MF",1998,"Spezia","it Serie A",23,12,1237,13.7,0.15,0.07,0.26,0.29,0.22,0.29,0.25,0.22,1.53,52.4,0.8,0.14,0.27,17.2,0,0,0.19,0.19,0.12,0.03,0.03,72,276.5,84.9,12,15.4,78.2,6.57,7.88,83.3,0.51,1.46,35,0.07,0.07,0.05,0.01,0.73,2.41,0.8,0.07,3.36,28.4,27.4,0.8,0.07,0,0.07,1.61,0.29,0.29,0.22,0.07,0,20.4,0.22,1.61,2.85,1.53,0,0.44,0.29,0.29,0.29,0.22,0.07,0,0,0,0,0.15,3.21,1.9,0.95,1.9,0.36,0.51,1.46,35,0.95,1.61,0,1.61,0.58,3.8,0.44,0,0.73,5.26,19.4,19.1,2.34,42.6,3.72,2.04,54.9,1.68,45.1,23.6,157.9,84.3,2.99,2.55,1.09,2.92,2.7,27.3,4.09
"19","Nayef Aguerd","MAR",25,"DF",1996,"Rennes","fr Ligue 1",31,31,2735,30.4,0.1,0.03,0.08,0.13,0.07,0.13,0.08,0.07,0.82,28,0.23,0.08,0.29,9.4,0,0,0.07,0.07,0.08,0,0,88.9,1329.4,504.2,20.2,21.7,92.9,34.5,36.4,94.9,9.11,13.1,69.6,0.07,0.01,0.01,0.06,0.13,3.88,0.07,0,3.32,72.5,70,2.43,2.27,0.07,1.35,0.03,0.16,0,0,0,0,64.4,0.1,0.39,0.49,0.33,0,0,0.13,0.03,0,0.13,0.1,0,0,0,0.03,0,0.89,0.59,0.53,0.36,0,0.46,0.79,58.3,0.33,0.79,0.46,0.33,0.79,1.68,4.18,0.03,7.27,37.6,41.9,1.94,1.12,81.2,0.2,0.16,83.3,0.03,16.7,53,261.1,148.6,0.36,0.23,0,0.23,0.13,60.8,0.03
"20","Ruben Aguilar","FRA",28,"DF",1993,"Monaco","fr Ligue 1",28,22,2140,23.8,0.17,0,0.05,0.08,0,0.08,0.05,0,0.42,20,0.08,0,0,22.8,0,0,0.01,0.01,0.03,-0.01,-0.01,83,974.5,368.3,31.3,33.9,92.4,23.5,27.6,85,3.91,7.48,52.2,0.08,0.04,0.12,0.05,0.5,5.21,1.34,0.21,6.6,72.6,60.7,11.6,1.43,0.17,0.67,2.69,10.2,0.04,0,0.04,0,60.3,0.25,1.13,1.34,1.05,0.13,0.04,0.04,0.08,0,0.17,0.13,0.04,0,0,0,0,3.28,2.23,1.64,1.34,0.29,1.81,2.86,63.2,1.05,0.8,0.17,0.63,1.85,5.13,2.39,0,3.19,21.3,42.6,20.5,1.13,83.8,0.46,0.21,45.5,0.25,54.5,47.6,228.5,122.7,2.56,2.27,0.17,1.3,0.21,49.9,4.24
"21","Anel Ahmedhodzic","BIH",22,"DF",1999,"Bordeaux","fr Ligue 1",15,15,1350,15,0.4,0,0.09,0.07,0,0.07,0.09,0,0.53,50,0.27,0,0,16,0,0,0.03,0.03,0.05,-0.03,-0.03,89.3,943.1,304.1,20.7,22.2,93.1,23.5,25.4,92.7,5.93,8,74.2,0.07,0.06,0.03,0.01,0.73,2.6,0.33,0.07,4.2,57.2,55.1,2.07,1.53,0,0.47,0.4,0.53,0,0,0,0,51.1,0.07,0.2,1.33,1.07,0.07,0,0.13,0,0.07,0.13,0.13,0,0,0,0,0,2.53,1.73,1.8,0.6,0.13,1.33,2.07,64.5,0.73,1.07,0.53,0.53,1.47,4,2.93,0,6.27,30.6,33,4,0.87,67,0.27,0.07,25,0.2,75,47.7,281.8,163.3,1.2,0.93,0.2,0.53,0.33,44.6,0.8
"22","Jean-Eudes Aholou","CIV",27,"MF",1994,"Strasbourg","fr Ligue 1",25,11,1004,11.2,0.18,0,0.24,0.18,0.09,0.18,0.24,0.09,1.52,11.8,0.18,0.06,0.5,21.2,0,0,0.17,0.17,0.11,-0.08,-0.08,82.3,459.7,96.2,14.6,17.1,85.9,11.7,13.1,89.1,1.88,3.3,56.8,0.09,0.07,0.09,0.02,0.54,2.05,0.8,0.09,3.39,36.8,36.1,0.71,0.71,0.09,0.18,0.54,0,0,0,0,0,30.3,0,0.98,2.05,1.7,0,0.09,0.09,0.09,0.09,0.27,0.27,0,0,0,0,0,1.43,0.8,0.36,0.8,0.27,0.45,1.7,26.3,1.25,0.71,0.09,0.63,1.7,3.13,0.63,0,1.07,7.5,28.5,13,1.52,48.3,2.05,0.98,47.8,1.07,52.2,28.8,148.5,68.7,1.43,0.98,0.18,1.88,0.89,30.4,3.48
"23","Joseph Aidoo","GHA",25,"DF",1995,"Celta Vigo","es La Liga",32,30,2637,29.3,0.03,0,0.02,0,0,0,0.02,0,0.2,16.7,0.03,0,0,13.3,0,0,0.01,0.01,0.04,-0.01,-0.01,81,888.1,284.4,12.3,14.3,85.5,25.3,28.3,89.2,5.43,9.49,57.2,0,0.01,0.02,-0.01,0.2,3.45,0.17,0.03,3.75,53.5,52.3,1.09,0.44,0.03,0.38,0.1,0.65,0,0,0,0,43.3,0.14,0.31,0.55,0.51,0,0,0.03,0,0,0.07,0.07,0,0,0,0,0,1.33,0.89,0.96,0.34,0.03,0.58,1.06,54.8,0.48,0.78,0.44,0.34,1.3,2.63,3.28,0.1,6.69,30.5,30.5,1.64,0.41,62.4,0.38,0.31,81.8,0.07,18.2,37.9,203.9,125.8,0.85,0.34,0.03,0.48,0.2,39.7,0.1
"24","Ola Aina","NGA",24,"DF",1996,"Torino","it Serie A",21,17,1437,16,0.25,0,0.13,0,0,0,0.12,0,0.63,40,0.25,0,0,23.6,0,0,0.01,0.01,0.02,-0.01,-0.01,70.9,543.3,221.3,17,19.8,86.1,12.6,17.5,72.1,2.75,5.81,47.3,0,0.11,0.09,-0.11,1,2.69,1.25,0.25,4.25,47.2,37.5,9.44,0.56,0.06,0,2.13,8.88,0,0,0,0,33.4,0.25,1.88,2.31,1.81,0.13,0.19,0,0.19,0,0.06,0.06,0,0,0,0,0,1.69,1.19,0.69,0.63,0.38,0.94,1.44,65.2,0.5,1.06,0.19,0.88,1.75,3.44,1.88,0,3,14.2,27.6,18.4,1.69,59.4,2.5,1.13,45,1.38,55,30.2,179.5,87.4,2.63,2.13,0.44,2,0.63,33.1,4.88
"25","Rayan Aït Nouri","ALG",20,"DF",2001,"Wolves","eng Premier League",23,20,1828,20.3,0.2,0,0.11,0.15,0.05,0.15,0.11,0.05,0.64,30.8,0.2,0.08,0.25,17.6,0,0,0.03,0.03,0.04,0.02,0.02,74.4,598.6,200.2,20.6,23.3,88.6,13.4,17.8,75.6,2.66,6.95,38.3,0.1,0.08,0.05,0.02,0.84,1.38,0.69,0.49,2.41,50.5,40,10.4,0.49,0.05,0.34,4.73,8.47,1.43,0.54,0.79,0,37.6,0.15,0.94,2.22,1.48,0.39,0.2,0,0.1,0.05,0.3,0.2,0.05,0,0,0.05,0,3.15,1.77,2.27,0.74,0.15,1.08,2.17,50,1.08,1.18,0.1,1.08,1.08,4.24,1.92,0.05,2.41,22.6,22.6,19.3,1.92,63.7,3.99,2.07,51.9,1.92,48.1,32.5,184.4,97,2.96,1.87,0.94,2.17,1.33,36.3,6.26
"26","Kristoffer Ajer","NOR",23,"DF",1998,"Brentford","eng Premier League",24,23,1995,22.2,0.23,0,0.11,0.18,0.05,0.18,0.11,0.05,0.32,14.3,0.05,0.14,1,8.8,0,0,0.04,0.04,0.11,0.01,0.01,70.3,456.4,213.5,13.6,16.8,81.5,11.5,15.4,74.6,2.12,4.73,44.8,0.14,0.08,0.08,0.06,0.36,1.85,0.59,0.09,3.69,40.2,33.1,6.94,0.27,0.09,0.14,0.77,6.67,0,0,0,0,28.2,0.18,1.26,1.49,0.99,0.27,0.09,0.05,0.05,0.05,0.32,0.14,0.05,0.09,0,0.05,0,1.31,0.81,0.95,0.27,0.09,0.59,0.95,61.9,0.36,0.86,0.5,0.36,1.17,2.48,3.33,0,4.86,19.9,21.8,8.15,1.4,49.6,0.81,0.59,72.2,0.23,27.8,22,134.7,77.3,1.35,1.13,0.09,1.13,0.32,23.9,1.31
"27","Ludovic Ajorque","FRA",27,"FW",1994,"Strasbourg","fr Ligue 1",36,31,2738,30.4,0.16,0.03,0.5,0.66,0.3,0.56,0.58,0.39,1.84,42.9,0.79,0.16,0.38,13.5,0,0.1,0.35,0.27,0.15,0.05,0.02,72.1,301.7,45.7,12.7,16.6,76.3,5.66,7.86,72,1.41,2.01,70.5,0.26,0.23,0.13,0.03,1.51,0.99,0.76,0.13,2.27,29.8,28.9,0.79,0.03,0.16,0.33,0.56,0.07,0,0,0,0,21.5,0.07,0.53,2.76,2.07,0,0.07,0.3,0.3,0.03,0.33,0.2,0,0,0.07,0.07,0,1.18,0.82,0.16,0.63,0.39,0.23,1.32,17.5,1.09,0.92,0.1,0.82,0.26,1.45,1.02,0.03,1.22,3.39,21.3,16.3,4.54,40.4,0.89,0.46,51.9,0.43,48.1,21.4,82.8,24.7,0.69,0.72,0.3,2.3,1.18,31.1,7.14
"28","Manuel Akanji","SUI",26,"DF",1995,"Dortmund","de Bundesliga",26,25,2261,25.1,0.12,0,0.08,0.04,0.04,0.04,0.08,0.04,0.52,23.1,0.12,0.08,0.33,11.2,0.04,0,0.08,0.08,0.15,-0.04,-0.04,90.4,1447,551.2,23.3,25.1,93,38.8,40.6,95.6,9.36,12.5,74.8,0,0,0.03,0,0.08,4.86,0.08,0,4.58,80.2,77.5,2.63,2.35,0.04,1.04,0.12,0.28,0,0,0,0,72.5,0.12,0.4,0.64,0.48,0.08,0.04,0.04,0,0,0.04,0.04,0,0,0,0,0,1.31,0.92,0.8,0.44,0.08,0.88,1.27,68.8,0.4,1.04,0.6,0.44,1.39,2.71,2.31,0,7.89,38.4,47.1,2.59,0.84,87.5,0.36,0.32,88.9,0.04,11.1,60.4,318.1,178.4,0.72,0.48,0,0.32,0.04,65.7,0.32
